2022-10-06 08:09:20.65, 31, 2->0, 3.42, car
2022-10-06 08:09:26.11, 31, 2->1, 3.76, car
2022-10-06 08:10:55.77, 31, 2->0, 3.37, car
2022-10-06 08:10:57.74, 31, 2->0, 3.29, car
2022-10-06 08:11:00.57, 31, 2->0, 3.6, car
2022-10-06 08:11:02.77, 31, 2->0, 4.28, car
2022-10-06 08:11:04.50, 31, 2->0, 4.39, car
2022-10-06 08:11:04.67, 31, 0->2, 1.64, car
2022-10-06 08:11:06.74, 31, 2->0, 3.98, car
2022-10-06 08:11:09.30, 31, 2->0, 4.06, car
2022-10-06 08:11:11.64, 31, 2->0, 4.91, car
2022-10-06 08:11:13.94, 31, 2->0, 4.88, car
2022-10-06 08:11:16.60, 31, 2->0, 4.13, car
2022-10-06 08:11:18.14, 31, 2->0, 4.71, car
2022-10-06 08:11:20.67, 31, 2->0, 3.48, bus_m
2022-10-06 08:12:09.70, 31, 2->0, 2.44, truck_s
2022-10-06 08:12:13.47, 31, 2->1, 4.02, car
2022-10-06 08:12:14.57, 31, 2->1, 3.81, car
2022-10-06 08:12:15.07, 31, 2->0, 3.26, car
2022-10-06 08:12:19.07, 31, 2->0, 3.16, bus_m
2022-10-06 08:12:22.54, 31, 2->0, 2.95, car
2022-10-06 08:12:24.44, 31, 2->0, 3.89, car
2022-10-06 08:12:26.80, 31, 2->0, 3.17, car
2022-10-06 08:12:29.57, 31, 2->0, 3.95, car
2022-10-06 08:12:29.77, 31, 2->1, 4.05, car
2022-10-06 08:12:33.14, 31, 2->0, 2.93, car
2022-10-06 08:12:34.74, 31, 2->0, 5.48, car
2022-10-06 08:12:37.57, 31, 2->0, 2.92, car
2022-10-06 08:12:39.27, 31, 2->0, 3.44, car
2022-10-06 08:12:41.27, 31, 2->0, 4.55, car
2022-10-06 08:12:42.17, 31, 2->1, 4.31, car
2022-10-06 08:12:42.87, 31, 2->0, 4.02, car
2022-10-06 08:12:45.27, 31, 2->0, 4.75, car
2022-10-06 08:12:46.10, 31, 2->1, 4.0, car
2022-10-06 08:12:47.94, 31, 2->0, 3.26, car
2022-10-06 08:12:48.57, 31, 2->1, 4.34, car
2022-10-06 08:13:04.13, 31, 0->1, 1.87, car
2022-10-06 08:14:13.53, 31, 2->0, 3.17, car
2022-10-06 08:14:16.03, 31, 2->0, 3.75, car
2022-10-06 08:14:17.53, 31, 0->2, 1.66, car
2022-10-06 08:14:18.06, 31, 2->0, 5.22, car
2022-10-06 08:14:23.36, 31, 2->0, 3.77, bus_m
2022-10-06 08:15:35.99, 31, 2->0, 1.17, car
2022-10-06 08:15:38.39, 31, 2->0, 3.31, car
2022-10-06 08:15:41.13, 31, 2->0, 3.6, car
2022-10-06 08:15:42.86, 31, 2->0, 4.73, car
2022-10-06 08:15:45.39, 31, 2->0, 4.66, car
2022-10-06 08:15:47.46, 31, 2->0, 4.58, car
2022-10-06 08:15:48.39, 31, 2->0, 5.1, car
2022-10-06 08:15:51.06, 31, 2->0, 5.64, car
2022-10-06 08:15:54.73, 31, 2->0, 3.63, car
2022-10-06 08:15:56.53, 31, 2->0, 3.84, car
2022-10-06 08:15:58.09, 31, 2->0, 4.34, car
2022-10-06 08:15:59.63, 31, 2->0, 5.14, car
2022-10-06 08:16:01.76, 31, 2->0, 4.09, car
2022-10-06 08:16:03.79, 31, 2->0, 4.65, car
2022-10-06 08:16:08.62, 31, 2->1, 4.71, car
2022-10-06 08:16:10.42, 31, 2->0, 3.54, car
2022-10-06 08:16:14.59, 31, 2->0, 5.3, car
2022-10-06 08:18:28.98, 31, 2->1, 3.5, car
2022-10-06 08:18:50.68, 31, 2->0, 1.3, car
2022-10-06 08:18:51.58, 31, 2->1, 3.46, car
2022-10-06 08:18:54.08, 31, 2->0, 1.34, car
2022-10-06 08:18:55.98, 31, 2->0, 4.19, truck_s
2022-10-06 08:18:59.91, 31, 2->1, 4.22, car
2022-10-06 08:19:07.98, 31, 2->1, 4.3, car
2022-10-06 08:19:09.71, 31, 2->1, 5.36, car
2022-10-06 08:19:12.18, 31, 2->1, 4.17, car
2022-10-06 08:19:15.44, 31, 0->1, 1.72, car
2022-10-06 08:19:21.27, 31, 2->1, 5.06, car
2022-10-06 08:19:23.34, 31, 2->0, 4.14, car
2022-10-06 08:19:25.41, 31, 2->0, 3.93, car
2022-10-06 08:19:28.44, 31, 2->0, 3.82, car
2022-10-06 08:19:29.97, 31, 2->0, 3.62, car
2022-10-06 08:19:34.04, 31, 2->0, 4.77, car
2022-10-06 08:19:36.07, 31, 2->0, 5.22, car
2022-10-06 08:19:37.91, 31, 2->0, 5.69, car
2022-10-06 08:19:40.21, 31, 2->0, 5.47, car
2022-10-06 08:20:24.20, 31, 0->1, 2.19, car
2022-10-06 08:20:53.87, 31, 2->0, 3.01, car
2022-10-06 08:20:55.94, 31, 2->0, 3.83, car
2022-10-06 08:20:57.20, 31, 0->2, 1.68, car
2022-10-06 08:21:00.47, 31, 2->0, 3.38, car
2022-10-06 08:21:11.24, 31, 2->0, 2.36, car
2022-10-06 08:21:13.20, 31, 2->0, 2.85, car
2022-10-06 08:21:15.00, 31, 2->0, 2.85, car
2022-10-06 08:21:17.54, 31, 2->0, 3.1, car
2022-10-06 08:21:19.60, 31, 2->0, 3.13, car
2022-10-06 08:21:22.40, 31, 2->0, 4.02, car
2022-10-06 08:22:17.00, 31, 2->0, 2.66, bus_m
2022-10-06 08:22:20.56, 31, 2->0, 3.08, truck_s
2022-10-06 08:22:22.63, 31, 2->0, 4.22, car
2022-10-06 08:22:25.03, 31, 2->0, 3.4, car
2022-10-06 08:22:26.83, 31, 2->0, 4.27, car
2022-10-06 08:22:26.86, 31, 2->1, 4.42, car
2022-10-06 08:22:29.26, 31, 2->1, 4.11, car
2022-10-06 08:22:29.46, 31, 0->1, 1.57, car
2022-10-06 08:22:32.36, 31, 2->0, 4.38, bus_m
2022-10-06 08:22:39.26, 31, 0->1, 1.12, car
2022-10-06 08:22:39.30, 31, 2->0, 5.31, car
2022-10-06 08:22:40.46, 31, 2->1, 3.77, car
2022-10-06 08:22:42.73, 31, 2->0, 4.57, car
2022-10-06 08:22:43.13, 31, 0->1, 1.12, car
2022-10-06 08:22:45.63, 31, 2->0, 4.14, car
2022-10-06 08:22:51.33, 31, 2->0, 5.5, car
2022-10-06 08:22:51.76, 31, 0->1, 1.44, car
2022-10-06 08:22:52.83, 31, 2->0, 3.97, car
