2022-10-05 07:40:52.67, 6, 0->2, 2.49, car
2022-10-05 07:40:53.41, 6, 2->0, 2.69, car
2022-10-05 07:40:55.11, 6, 2->0, 2.16, car
2022-10-05 07:40:56.77, 6, 0->2, 1.65, car
2022-10-05 07:40:56.94, 6, 2->0, 3.02, car
2022-10-05 07:40:57.27, 6, 2->0, 2.45, car
2022-10-05 07:40:58.87, 6, 2->0, 3.07, car
2022-10-05 07:41:01.01, 6, 2->0, 3.41, car
2022-10-05 07:41:01.11, 6, 0->2, 2.33, car
2022-10-05 07:41:01.41, 6, 2->0, 2.99, car
2022-10-05 07:41:02.24, 6, 0->2, 2.64, car
2022-10-05 07:41:03.64, 6, 2->0, 2.41, truck_s
2022-10-05 07:41:03.91, 6, 0->2, 2.56, car
2022-10-05 07:41:05.07, 6, 2->0, 2.62, truck_s
2022-10-05 07:41:05.37, 6, 2->0, 3.36, car
2022-10-05 07:41:05.44, 6, 0->2, 2.34, car
2022-10-05 07:41:07.61, 6, 0->2, 2.11, bus_m
2022-10-05 07:41:07.71, 6, 2->0, 2.8, car
2022-10-05 07:41:09.33, 6, 2->0, 2.78, car
2022-10-05 07:41:10.37, 6, 2->0, 3.38, car
2022-10-05 07:41:11.13, 6, 0->2, 2.31, car
2022-10-05 07:41:11.50, 6, 2->0, 3.11, car
2022-10-05 07:41:12.80, 6, 0->1, 7.5, car
2022-10-05 07:41:13.13, 6, 0->2, 2.4, car
2022-10-05 07:41:15.63, 6, 2->0, 2.19, truck_s
2022-10-05 07:41:16.30, 6, 0->2, 2.59, car
2022-10-05 07:41:17.53, 6, 2->0, 3.0, truck_s
2022-10-05 07:41:17.97, 6, 2->0, 2.65, truck_s
2022-10-05 07:41:18.67, 6, 2->0, 2.2, car
2022-10-05 07:41:18.73, 6, 0->2, 2.42, car
2022-10-05 07:41:20.57, 6, 0->2, 2.16, car
2022-10-05 07:41:21.50, 6, 2->0, 2.73, car
2022-10-05 07:41:22.40, 6, 2->0, 2.14, car
2022-10-05 07:41:23.47, 6, 0->2, 1.78, bus_m
2022-10-05 07:41:23.87, 6, 2->0, 2.8, car
2022-10-05 07:41:24.13, 6, 2->0, 2.44, car
2022-10-05 07:41:24.93, 6, 2->0, 2.71, car
2022-10-05 07:41:25.03, 6, 0->2, 1.87, car
2022-10-05 07:41:25.23, 6, 2->0, 3.11, car
2022-10-05 07:41:26.17, 6, 0->2, 2.24, car
2022-10-05 07:41:26.30, 6, 2->0, 3.03, car
2022-10-05 07:41:27.83, 6, 2->0, 2.95, car
2022-10-05 07:41:34.50, 6, 3->1, 2.21, car
2022-10-05 07:41:35.73, 6, 3->1, 2.06, truck_s
2022-10-05 07:41:39.73, 6, 3->0, 4.65, car
2022-10-05 07:41:40.33, 6, 3->1, 2.63, car
2022-10-05 07:41:42.77, 6, 3->1, 2.86, car
2022-10-05 07:41:44.90, 6, 3->1, 3.37, car
2022-10-05 07:41:45.53, 6, 3->1, 3.4, truck_s
2022-10-05 07:41:47.17, 6, 3->1, 3.74, car
2022-10-05 07:42:10.07, 6, 1->0, 1.9, car
2022-10-05 07:42:11.53, 6, 1->0, 2.67, car
2022-10-05 07:42:13.00, 6, 1->0, 1.94, truck_s
2022-10-05 07:42:13.43, 6, 1->0, 2.27, car
2022-10-05 07:42:14.93, 6, 1->0, 2.33, car
2022-10-05 07:42:16.16, 6, 1->0, 2.33, bus_m
2022-10-05 07:42:28.03, 6, 1->0, 1.41, car
2022-10-05 07:42:28.90, 6, 1->0, 3.71, car
2022-10-05 07:42:32.06, 6, 1->0, 1.52, bus_m
2022-10-05 07:42:40.86, 6, 2->0, 1.97, car
2022-10-05 07:42:43.73, 6, 2->0, 1.7, car
2022-10-05 07:42:48.56, 6, 2->0, 2.27, truck_s
2022-10-05 07:42:49.50, 6, 2->0, 2.03, car
2022-10-05 07:42:50.26, 6, 2->1, 2.03, car
2022-10-05 07:42:51.70, 6, 2->0, 1.92, car
2022-10-05 07:42:52.20, 6, 2->1, 1.86, car
2022-10-05 07:42:53.03, 6, 2->0, 1.71, car
2022-10-05 07:42:53.10, 6, 2->3, 4.55, car
2022-10-05 07:42:53.83, 6, 2->1, 2.32, car
2022-10-05 07:42:55.93, 6, 2->1, 1.86, car
2022-10-05 07:42:56.60, 6, 2->0, 2.06, car
2022-10-05 07:42:57.96, 6, 2->1, 1.81, car
2022-10-05 07:42:59.26, 6, 2->0, 1.94, car
2022-10-05 07:42:59.86, 6, 2->0, 2.16, bus_m
2022-10-05 07:43:03.96, 6, 2->1, 2.51, car
2022-10-05 07:43:09.80, 6, 2->0, 1.85, car
2022-10-05 07:43:10.06, 6, 2->0, 1.78, car
2022-10-05 07:43:10.83, 6, 2->0, 2.08, car
2022-10-05 07:43:11.03, 6, 2->1, 1.77, car
2022-10-05 07:43:12.56, 6, 2->0, 2.43, car
2022-10-05 07:43:12.96, 6, 2->1, 1.78, car
