2022-10-06 17:38:39.59, 17, 1->0, 16.44, car
2022-10-06 17:38:43.59, 17, 1->0, 23.84, car
2022-10-06 17:40:39.45, 17, 1->0, 18.26, car
2022-10-06 17:41:12.85, 17, 1->0, 25.74, car
2022-10-06 17:41:20.78, 17, 1->0, 33.22, car
2022-10-06 17:41:34.58, 17, 1->0, 25.34, car
2022-10-06 17:45:18.94, 17, 1->0, 22.33, car
2022-10-06 17:47:23.06, 17, 1->0, 24.95, car
2022-10-06 17:47:52.42, 17, 1->0, 35.93, car
2022-10-06 17:48:16.22, 17, 1->0, 28.3, car
2022-10-06 17:50:47.42, 17, 1->0, 22.46, bus_m
2022-10-06 17:51:48.94, 17, 1->0, 24.21, car
2022-10-06 17:53:56.43, 17, 1->0, 11.53, car
2022-10-06 17:54:05.90, 17, 1->0, 19.29, bus_s
2022-10-06 17:55:01.03, 17, 1->0, 25.77, car
2022-10-06 17:56:21.23, 17, 1->0, 18.48, car
2022-10-06 17:56:29.63, 17, 1->0, 33.48, car
2022-10-06 17:58:17.42, 17, 1->0, 24.22, car
2022-10-06 17:58:28.82, 17, 1->0, 42.28, car
2022-10-06 17:58:34.35, 17, 1->0, 27.41, car
2022-10-06 18:02:37.50, 17, 1->0, 23.68, car
2022-10-06 18:06:50.25, 17, 1->0, 23.67, car
2022-10-06 18:06:52.85, 17, 1->0, 19.64, car
2022-10-06 18:09:30.31, 17, 1->0, 23.99, car
2022-10-06 18:13:10.06, 17, 1->0, 22.67, car
2022-10-06 18:13:46.99, 17, 1->0, 8.62, car
2022-10-06 18:19:58.94, 17, 1->0, 22.5, bus_m
2022-10-06 18:22:05.63, 17, 1->0, 7.81, car
2022-10-06 18:22:58.16, 17, 1->0, 10.64, bus_m
2022-10-06 18:33:07.19, 17, 1->0, 12.53, bus_m
2022-10-06 18:34:46.05, 17, 1->0, 27.58, car
2022-10-06 18:34:58.98, 17, 1->0, 25.37, car
2022-10-06 18:44:30.01, 17, 1->0, 10.01, car
2022-10-06 18:49:33.89, 17, 1->0, 29.67, car
2022-10-06 18:57:26.43, 17, 1->0, 26.02, car
2022-10-06 19:04:38.84, 17, 1->0, 22.73, car
2022-10-06 19:05:09.70, 17, 1->0, 25.5, car
2022-10-06 19:08:12.39, 17, 1->0, 28.07, car
2022-10-06 19:11:58.01, 17, 1->0, 28.46, car
2022-10-06 19:14:12.00, 17, 1->0, 8.04, car
2022-10-06 19:14:20.80, 17, 1->0, 19.18, car
2022-10-06 19:14:24.87, 17, 1->0, 19.52, car
2022-10-06 19:19:04.55, 17, 1->0, 3.51, bus_m
2022-10-06 19:22:03.14, 17, 1->0, 25.47, car
2022-10-06 19:24:33.10, 17, 1->0, 24.07, car
2022-10-06 19:27:09.89, 17, 1->0, 9.09, car
